UserID,Title,ISBN,Rating
3,We Can Be Mended,9786026109965.0,1
3,Holy Mother,,5
3,Loving the Wounded Soul: Alasan dan Tujuan Depresi Hadir di Hidup Manusia,9786020633701.0,4
3,King's Cage,9780062310712.0,liked it
3,Dark Matter,9781101904237.0,liked it
3,Kim Ji-Yeong Lahir Tahun 1982,9786020636191.0,4
3,About You,,4
3,Harry Potter and the Cursed Child: Parts One and Two,,4
3,Semua Ikan di Langit,9786023758067.0,liked it
3,Wildcard,9780399548017.0,4
3,Raden Mandasia si Pencuri Daging Sapi,9789791079525.0,5
3,"Merasa Pintar, Bodoh Saja Tak Punya: Kisah Sufi dari Madura",9786021318409.0,4
3,Convenience Store Woman,,4
3,Money,9781784874025.0,4
3,Becoming,,5
3,Daily Dose of Shine,9786020385365.0,2
3,2016 on Goodreads,,5
3,Rumah Kertas,9789791260626.0,4
3,The Catcher in the Rye,,liked it
3,Stardust,,liked it
3,Rumah Lebah,9786232164840.0,4
3,Rainbirds,,liked it
3,Yang Bertahan dan Binasa Perlahan,9786020361215.0,4
3,Harry Potter: The Prequel,9781156923443.0,liked it
3,Seventeen Once Again,9786020378190.0,4
3,Lelaki Harimau,9786020307497.0,liked it
3,Katarsis,,5
3,Human Acts,9781524760175.0,4
3,Laut Bercerita,9786024246945.0,5
3,Silence,9786026383389.0,liked it
3,Giselle,9786025297298.0,liked it
3,Yang Belum Usai: Kenapa Manusia Punya Luka Batin?,9786230015304.0,4
3,Britt-Marie Was Here,9781501142543.0,liked it
3,The Knife of Never Letting Go,9780763676186.0,4
3,The Silent Dead,9781785651694.0,liked it
3,A Man Called Ove,9781476738024.0,4
3,Into the Magic Shop,9786026682604.0,4
3,Warcross,9780399547966.0,liked it
3,Kerumunan Terakhir,9786020325439.0,liked it
3,"Curriculum Vitae: Seratus Enam Urusan, Sembilan Puluh Perumpamaan, Sebelas Tokoh, Sepasang Kegembiraan",9786020335834.0,liked it
3,The Miracles of the Namiya General Store,9781975382575.0,4
3,The Midnight Library,9780525559481.0,4
3,The Mark of Athena,9789794337400.0,4
3,Enchanting Tales from Indonesia,,liked it
3,Dilan: Dia Adalah Dilanku Tahun 1990,9786027870413.0,2
3,Breaking Barriers: Portraits of Inspiring Chinese-Indonesian Women,9780804843898.0,liked it
3,The Book of Lost Things - Kitab Tentang Yang Telah Hilang,,4
3,Memoar Seorang Geisha - Memoirs of a Geisha,,4
3,Murder on the Orient Express - Pembunuhan di Orient Express,,4
3,What We Talk About When We Talk About Love,9786026486233.0,liked it
3,Pengakuan,9786026208170.0,4
3,Jika Kucing Lenyap dari Dunia,9786026486431.0,4
3,Tanah Surga Merah,9786020333359.0,liked it
3,I am Sarahza,9786025734212.0,4
