UserID,Title,ISBN,Rating
4,House of Sky and Breath,9781408884423.0,5
4,Glow,,5
4,Helfyre,,2
4,Circe,,5
4,Bow Before the Elf Queen,,4
4,It Happened One Summer,9780063045651.0,4
4,Skyward,,5
4,The Rage of Dragons,,5
4,Husband Material,,5
4,The Hunger of the Gods,9780356514222.0,5
4,The Exile,,5
4,War Lord,9780008183950.0,5
4,The Shadow of the Gods,,5
4,The Children of Gods and Fighting Men,9781803282626.0,5
4,Empire of the Vampire,9780008350437.0,5
4,Shadow of Night,9780670023486.0,4
4,Shadow Lands,,5
4,The City of Dusk,9780316458887.0,5
4,Of Blood and Fire,,5
4,"Hook, Line, and Sinker",,4
4,Wolf of the Sands,,5
4,Shadow Kissed,,4
4,A Dowry of Blood,,4
4,The Spanish Love Deception,9781668002520.0,4
4,For Butter or Worse,9781335506344.0,5
4,"Elf Shot: Ironwood, Book 3",,5
4,Norse Mythology,,4
4,In Calabria,9781616962487.0,liked it
4,In a Holidaze,9781982123956.0,4
4,The Calm Before the Storm,,5
4,Mixed Signals,,4
4,Blood Lands,,5
4,Shipped,9781982151591.0,4
4,Lovelight Farms,,4
4,From Blood and Ash,9781952457012.0,5
4,River of Shadows,9798409092955.0,4
4,Savage Lands,,5
4,A Hunger Like No Other,,4
4,Kiss of the Blood Prince,,4
4,Kulti,,4
4,A Discovery of Witches,,5
4,Hooked,,liked it
4,The Witch Collector,9781648980442.0,5
4,Trash and Treasure,,4
4,Wild Lands,,5
4,Dark Earth,9780812989113.0,liked it
4,Wings of the Night Prince,,4
4,Dead Lands,,5
4,The Rogue Crown,,4
4,Cry of the Firebird,,4
4,Of Darkness and Light,,5
4,My Killer Vacation,9798201353605.0,liked it
4,Electric Idol,9781728231761.0,4
4,Between Ink and Shadows,,2
4,The Hating Game,,4
4,Heart of a Witch,,4
4,The Traitor Queen,,5
4,The Wall of Winnipeg and Me,,4
4,Boyfriend Material,9781728206141.0,5
4,Rise Of The Firebird,,5
4,Tools of Engagement,9780062872937.0,4
4,Song of the Forever Rains,,liked it
4,The Bridge Kingdom,,5
4,Forced Bonds,,liked it
4,Sorcerers and Saints,,4
4,A Game of Retribution,,4
4,Sharpest Edge,,4
4,Bad Lands,,5
4,The Pagan Lord,9780007331901.0,5
4,The First Girl Child,,5
4,Not Good for Maidens,,2
4,The Unhoneymooners,,liked it
4,Comfort Me with Apples,9781250816214.0,liked it
4,A Shadow in the Ember,,5
4,The Fall,,5
4,Carmilla - Audible Performance,,liked it
4,2021 on Goodreads,,4
4,The Tales of Beedle the Bard,9780747599876.0,5
4,Ashes of The Firebird,,5
4,Midnight Crown,,4
4,"Luna Cursed : Ironwood, Book 4",,5
4,Ascendant,,5
4,Broken Bonds,,liked it
4,The ​Crown of Gilded Bones,9781952457258.0,5
4,Heart of the Winter Prince,,4
4,War of the Wolf,9780062563194.0,4
4,The Bladed Faith,9780759557086.0,5
4,The Flame Bearer,9780007504213.0,5
4,The Telltale Heart,,5
4,In a Garden Burning Gold,9780593354971.0,liked it
4,A Kingdom of Flesh and Fire,,5
4,The High Mountain Court,,4
4,No Rest for the Wicked,,4
4,Wild and Wicked Things,9780316287159.0,liked it
4,Hotel Portofino,9798200875047.0,4
4,The Cheat Sheet,,4
4,Silver Heart,,4
4,The Last Kingdom,,5
4,The Justice of Kings,,5
4,The Empty Throne,9780007504176.0,4
4,Seeds of Truer Natures,,4
4,The Smoke Thief,9780553588040.0,4
4,Haastmouth Beach,,5
4,Midnight in Everwood,9780008450663.0,liked it
4,Reborn,,4
4,Nothing But Blackened Teeth,9781250759412.0,2
4,Devastation,,liked it
4,Sword of Kings,,4
4,The North Wind,9781733033466.0,4
4,Fix Her Up,9780062872845.0,4
4,The Inadequate Heir,,4
4,A Kingdom of Ruin,,liked it
4,Son of Mercia,,liked it
4,Asterion,,4
4,A Game of Fate,,4
4,Heads Will Roll,,liked it
4,Christmas in the Scottish Highlands,,1
4,The Immortal City,,5
4,Lords of the North,,5
4,King of Battle and Blood,,4
4,The Raven,,5
4,The Lion and the Star,,4
4,Wrath of the Fae Boxset: Books 1-3,,4
4,The Beast,,liked it
4,The Viscount Who Loved Me,,4
4,Moon Called,9780441013814.0,5
4,The Old Man and the Sea,9780684830490.0,liked it
4,Dragon Bones,9780441009169.0,4
4,A Gift Upon the Shore,9780595143412.0,4
4,The Great Gatsby,,4
4,Raven's Strike,9780441013128.0,4
4,Raven's Shadow,9780441011872.0,4
4,Dragon Blood,9780441010080.0,4
4,The Hob's Bargain,9780441008131.0,liked it
4,Steal the Dragon,9780441002733.0,4
4,When Demons Walk,9780441005345.0,4
4,On the Prowl,9780425216590.0,5
4,Masques,9780441520992.0,5
4,Romancing Mister Bridgerton,9780380820849.0,4
4,The Duke and I,9780380800827.0,4
4,An Offer From a Gentleman,,4
4,The Pale Horseman,,4
4,When He Was Wicked,9780060531232.0,4
4,Voyager,9780385335997.0,5
4,Iron Kissed,9780441015665.0,5
4,The Fiery Cross,9780440221661.0,4
4,A Game of Thrones,9780553588484.0,5
4,The Hobbit,,5
4,The Little Prince,,4
4,The Last Wish,,4
4,Cry Wolf,9780441016150.0,5
4,Harry Potter and the Prisoner of Azkaban,9780439655484.0,5
4,Outlander,9780440242949.0,5
4,Blood Bound,9780441014736.0,5
4,The Hunger Games,9780439023481.0,4
4,Dragonfly in Amber,,5
4,The Two Towers,,5
4,The Return of the King,9780345240347.0,5
4,The Catcher in the Rye,9780316769174.0,liked it
4,Bone Crossed,9781841496863.0,5
4,Eragon,9780375826696.0,5
4,Sword Song,,5
4,The Fellowship of the Ring,9780345015339.0,5
4,Twilight,9780316015844.0,liked it
4,Romeo and Juliet,,liked it
4,"Eat, Pray, Love",9780143038412.0,liked it
4,The Odyssey,9780143039952.0,4
4,Harry Potter and the Sorcerer's Stone,,5
4,The Help,9780399155345.0,5
4,"The Lion, the Witch and the Wardrobe",,4
4,The Alchemist,9780062315007.0,liked it
4,Hunting Ground,9780441017386.0,5
4,Alpha & Omega,9781440644573.0,5
4,Homecoming,9780345509888.0,liked it
4,Strange Brew,9780312383367.0,4
4,Silver Borne,9780441018192.0,5
4,The Warlord Wants Forever,,liked it
4,The Burning Land,9780007219759.0,4
4,River Marked,9781841497976.0,5
4,Wolfsbane,9780441019540.0,5
4,Throne of Glass,,5
4,Divergent,9780062024039.0,2
4,"To Sir Phillip, With Love",9780380820856.0,5
4,The Masque of the Red Death,9781594567391.0,liked it
4,Frost Burned,9780441020010.0,5
4,Death of Kings,9780007331789.0,5
4,To All the Boys I've Loved Before,,4
4,Crown of Midnight,9781619630628.0,4
4,A Court of Thorns and Roses,9781619634442.0,4
4,Night Broken,9780425256749.0,5
4,A Court of Mist and Fury,,5
4,A Court of Wings and Ruin,9781408857908.0,5
4,Heir of Fire,,5
4,Empire of Storms,,5
4,Kingdom of Ash,9781619636101.0,5
4,Queen of Shadows,,4
4,The Assassin's Blade,,5
4,Dead Heat,9780425256756.0,5
4,"Bridgerton Collection, Volume One",,4
4,Fire Touched,9780425256763.0,5
4,Under Locke,,4
4,The Adventures of Tom Sawyer,9780143039563.0,liked it
4,Air Awakens,9781932549935.0,liked it
4,The Shadow of What Was Lost,9780992580209.0,4
4,Silence Fallen,9780425281277.0,5
4,Storm Cursed,,5
4,Burn Bright,9780425281314.0,5
4,Warriors of the Storm,9780062443854.0,4
4,Depravity,,liked it
4,Deceit,,liked it
4,Rhapsodic,,liked it
4,The Cruel Prince,,liked it
4,The Wicked King,,liked it
4,The Queen of Nothing,,liked it
4,Fire Falling,9781619849525.0,liked it
4,Earth's End,9781619844223.0,liked it
4,House of Earth and Blood,,5
4,Water's Wrath,9781619844254.0,liked it
4,Crystal Crowned,,4
4,A ​Court of Silver Flames,9781681196282.0,4
4,Tower of Dawn,,4
4,The Crown's Dog,,liked it
4,The Prince's Rogue,,liked it
4,A Strange Hymn,,liked it
4,A Court of Frost and Starlight,9781681196312.0,4
4,The Farmer's War,,4
4,Sky in the Deep,9781250168450.0,4
4,Dark Harmony,,liked it
4,Pestilence,,2
4,The Sweetest Oblivion,,liked it
4,War,,2
4,Serpent & Dove,,liked it
4,Blood & Honey,,liked it
4,Vortex Visions,9781949694048.0,liked it
4,A Touch of Darkness,,4
4,Chosen Champion,,liked it
4,Love Her or Lose Her,9780062872869.0,liked it
4,Smoke Bitten,9780440001553.0,5
4,Failed Future,,liked it
4,Descending Into Madness,9781077934177.0,liked it
4,Sovereign Sacrifice,,liked it
4,Crystal Caged,,4
4,Kingdom of the Wicked,9780316428460.0,4
4,Kingdom of the Cursed,,4
4,A Touch of Ruin,9798637299126.0,4
4,Wings of Fury,,4
4,Wild Sign,,5
4,Gods & Monsters,,liked it
4,Greenlights,9780593139134.0,5
4,A Touch of Malice,,liked it
4,Medusa,,liked it
4,The Sea of the Dead,,5
4,Hades,,2
4,A Court of Honey and Ash,,liked it
