UserID,Title,ISBN,Rating
5,Deadhouse Gates,,5
5,Recursion,9781509866656.0,5
5,Midnight Tides,,5
5,Of Foster Homes and Flies,9781535073363.0,5
5,On the Savage Side,9780593320709.0,5
5,The Institute,9781529355390.0,5
5,Mistborn: Secret History,,5
5,The Sound of Broken Ribs,9781981619580.0,4
5,Skullcrack City,9781621051718.0,5
5,Ghoul,9781936383733.0,5
5,Reaper's Gale,,4
5,Come With Me,9781789097375.0,5
5,Devil's Creek,9781951043032.0,5
5,Touch the Night,,5
5,The Devil Takes You Home,9780316426916.0,5
5,Autumn Bleeds Into Winter,9798686367029.0,5
5,Dead of Winter,9781790928729.0,5
5,Ritual,,4
5,On the Savage Side,,5
5,Dandelion Wine,9780380977260.0,5
5,In The River,,5
5,Swan Song,,5
5,The Patience of a Dead Man,9781733790420.0,5
5,My Best Friend's Exorcism,9781594748622.0,5
5,Remains,9781925759952.0,5
5,Marla,,5
5,The Same Deep Water as You,9781791711511.0,5
5,Locke & Key: The Golden Age,9781684057856.0,5
5,The Haar,,5
5,Low Red Moon,9781931081849.0,5
5,The Old One and The Sea,,5
5,Cattywampus: Part of the Knucklebucket Thang Series,9781076450463.0,5
5,The Gypsy Moths,9781685100292.0,5
5,We Live Inside Your Eyes,9781095301593.0,5
5,Reaper Man,,5
5,Mine,,5
5,The Sandman: Act III,,5
5,Dark Hollow,9781621050308.0,5
5,Daughter Of Hounds,,5
5,"Something Borrowed, Something Blood-Soaked",9781989206003.0,5
5,Hummingbird,,5
5,Harry Potter and the Sorcerer's Stone,,5
5,Wyrd Sisters,9781473200210.0,5
5,Sour Candy,9781979533225.0,5
5,Snow,,4
5,Charlotte's Web,9780064410939.0,5
5,If It Bleeds,9781982137977.0,5
5,The Croning,9781597802307.0,5
5,End Of The Road,9781587676581.0,5
5,Five Decembers,9781789096118.0,5
5,With Teeth,9781950259427.0,5
5,Needful Things,,5
5,Tales From the Shadow Side,,5
5,Nation,9780061433016.0,5
5,Piece of Me,,5
5,Billy Summers,9781982173616.0,5
5,Later,9781789096491.0,4
5,Incarnate,,4
5,The Colorado Kid,9781789091557.0,4
5,Bring Her Back,9781719382434.0,5
5,Sunray Alice,,5
5,Vultures,9781481448789.0,5
5,Wolf Land,9781787581524.0,4
5,Maiden,,5
5,The Hobbit,,5
5,Ride Like Hell,,5
5,Satan's Burnouts Must Die!,,5
5,The Invention of Ghosts,,5
5,The Martian,9780804139021.0,5
5,South of Here,,4
5,Dead Woman Scorned,9781733790444.0,5
5,Fairy Tale,9781668002186.0,2
5,The Visitor,,5
5,Scattered Little Pieces,9798679312630.0,4
5,Ride or Die,,4
5,In the Valley of the Sun,9781510742840.0,5
5,The Resurrectionists,9781947570122.0,4
5,Betty,9781474617536.0,5
5,Providence,9780399591433.0,5
5,The Devil's Fingers,,4
5,The Forgotten Girl,9781250072399.0,5
5,War on Christmas,,4
5,Samson and Denial,9781492250517.0,4
5,The Festering Ones,,4
5,White Pines,9781793845610.0,5
5,Burner,,5
5,Anansi Boys,,liked it
5,X's For Eyes,9781942712824.0,4
5,Savage Species,9781787581104.0,4
5,The Listener,9781587676130.0,5
5,The Bleeding Season,9781947654259.0,5
5,What the Dark Brings,9781495452833.0,5
5,The Book of Accidents,9780399182136.0,4
5,Mass Hysteria,9781947570009.0,4
5,Heir of Novron,9780316187718.0,5
5,Westlake Soul,9781926851556.0,5
5,Dear Sweet Filthy World,,4
5,Toll the Hounds,9780765316547.0,5
5,Lonesome Dove,,5
5,Best Served Cold,9780575082458.0,4
5,Orphans of Wonderland,9781947654426.0,5
5,Atlanta Burns,9781477827109.0,5
5,Crossroads,,5
5,Queen of Teeth,9781946335418.0,5
5,Nemesis: The Death of Timmy Quinn,9781490566368.0,5
5,Dreams the Ragman,,5
5,Bay's End,9781979785037.0,5
5,The Wicked Rex of the West,,5
5,Velvet Elvis,,5
5,We Can Never Go Back,,5
5,Revolver,9781370933952.0,5
5,The Living and the Dead,9788899569907.0,5
5,The Drive-In,,4
5,Ugly As Sin,9780988272354.0,5
5,Spicy Constellation & Other Recipes,9781097786244.0,5
5,Creature,9781787580213.0,5
5,True Grit,,5
5,Oasis of the Damned & Heretics: A Novella Double-Shot,9781948929660.0,5
5,The Novellas,,5
5,The Hunt,9781503953390.0,5
5,Mystery Walk,,4
5,We Need to Do Something,9781943720453.0,5
5,Entropy in Bloom,,5
5,Yuri,9781719979634.0,5
5,Morning Star,,5
5,Agent to the Stars,,4
5,Boy's Life,9781416577782.0,5
5,Valor,,5
5,Blanky,9781977550446.0,5
5,Dangerous Boys,9781946502520.0,5
5,Twentieth Anniversary Screening,9798425979889.0,4
5,The Law,,4
5,Midnight Solitaire,9781947522213.0,5
5,Ecstatic Inferno,9781621052104.0,5
5,The Subtle Knife,9780679879251.0,5
5,A Conjuring of Light,9780765387462.0,5
5,Hell on Mars,9798636549017.0,4
5,The Phantom Tollbooth,,5
5,The Two-Bear Mambo: Hap and Leonard #3,,5
5,Half the World,9780804178426.0,5
5,Double Barrel Horror: Punk Rock Re-animator / Holes,,5
5,The Golden Compass,9780679879244.0,5
5,"Strangers in Paradise, Volume 19: Ever After",9781892597359.0,5
5,"Strangers in Paradise, Volume 15: Tomorrow Now",9781892597274.0,5
5,Allison,9798626465396.0,5
5,The God Beneath My Garden: Short Horror Fiction of Robert Ford,9781500437480.0,5
5,The Cabin at the End of the World,9780062679109.0,5
5,Bone Vol. 8: Treasure Hunters,,4
5,Skin Game,9780451464392.0,5
5,The Last House on Needless Street,9781250812629.0,5
5,Widow's Point,9781587676475.0,5
5,Deep Night,9781947654327.0,5
5,The Sandman: Act II,,5
5,Necrosaurus Rex,9781940161945.0,4
5,Waif,9781941918951.0,5
5,True Crime,9781941918562.0,5
5,The Bands of Mourning,9780765378576.0,5
5,Charlie the Choo-Choo,9781534401235.0,liked it
5,Broken Shells,9781947570047.0,5
5,"Bone, Vol. 9: Crown of Horns",9780439706322.0,5
5,The Number 121 to Pennsylvania & Others,9781481030090.0,5
5,Bridge of Souls,9781685100650.0,5
5,Rattus New Yorkus,,4
5,The Cult Called Freedom House,,4
5,Mind Wreck: Shadow Games,,5
5,"Doctor Brite: All stories starring the character Dr. Brite, coroner in New Orleans.",,4
5,All That's Fair,9798657499124.0,5
5,End Times,9781848631014.0,4
5,Carpe Jugulum,9780857524157.0,5
5,The Nightrunners,9780615897554.0,4
5,Hellboy in Hell,9781506703633.0,4
5,Night Shoot,,5
5,Radiant Apples,9781645240419.0,5
5,An Invitation to Darkness,9798624890657.0,4
5,A Darker Shade of Magic,9780765376459.0,5
5,Exquisite Corpse,9780684836270.0,4
5,The Magic of Terry Pratchett,9781526765505.0,5
5,Borne of the Deep,9781947570146.0,5
5,Trilobite: The Writing of Threshold,9781931081535.0,5
5,Cold Dead Hands,,4
5,Ruin,9780316386326.0,5
5,Forest Underground,9781999741853.0,4
5,Wolf Hunt 3,9798605500735.0,4
5,Anger is an Acid,9781733790451.0,4
5,Cruel Works of Nature: 11 Illustrated Horror Novellas,9781790216840.0,5
5,Unfortunate Elements of My Anatomy,9781990082016.0,5
5,Finders Keepers,9781501100130.0,5
5,Shadows of Self,9780765378552.0,5
5,The Bad Beginning,9780439206471.0,4
5,Fool Moon,9780451458124.0,4
5,The Alloy of Law,9780765330420.0,5
5,Harry Potter and the Chamber of Secrets,,5
5,Doomsday Book,9780553081312.0,5
5,The Nightly Disease,9781943720248.0,5
5,The Human Division,9780765333513.0,5
5,The Amazing Maurice and His Educated Rodents,9780060012335.0,5
5,The End,9780064410168.0,4
5,The Emperor's Soul,9781616960926.0,5
5,Dead Beat,9780451460912.0,5
5,The Archived,9781423157311.0,4
5,The Girl on the Glider,,5
5,The Snatchabook,9781402290824.0,4
5,The Magic Wagon,9780999036198.0,5
5,The Velveteen Rabbit,9780380002559.0,5
5,The Melancholy Death of Oyster Boy and Other Stories,9780688156817.0,4
5,World War Z: An Oral History of the Zombie War,9780307346605.0,5
5,The Long Dark Tea-Time of the Soul,9781476783000.0,4
5,Firestarter,,4
5,Skeleton Crew,,4
5,Death Masks,9780451459404.0,5
5,Rum Punch,9780753819739.0,5
5,Neverwhere,9780060557812.0,5
5,"Strangers in Paradise, Volume 18: Love & Lies",9781892597342.0,4
5,"All-Star Superman, Vol. 1",9781401209148.0,5
5,The Complete Calvin and Hobbes,9780740748479.0,5
5,"Astonishing X-Men, Volume 2: Dangerous",9780785116776.0,liked it
