,Title,Author,Year,Rating,Raters,Genres
0,To Kill a Mockingbird (Paperback),Harper Lee,1960,4.27,5490833,"Classics,Fiction,Historical,Academic,Literature,Young Adult,Historical,Academic,Novels,Young Adult"
1,1984 (Paperback),George Orwell,1949,4.19,4016657,"Classics,Fiction,Science Fiction,Science Fiction,Literature,Novels,Politics,Academic,Fantasy,Adult"
2,Pride and Prejudice (Paperback),Jane Austen,1813,4.28,3785713,"Classics,Fiction,Romance,Historical,Literature,Historical,Novels,Audiobook,Romance,Adult"
3,The Book Thief (Hardcover),Markus Zusak,2006,4.39,2274375,"Historical,Fiction,Young Adult,Historical,Classics,War,World War II,War,Writing,Audiobook"
4,The Fault in Our Stars (Hardcover),John Green,2012,4.16,4563756,"Young Adult,Romance,Fiction,Contemporary,Realistic Fiction,Young Adult,Young Adult,Novels,Drama,Love"
5,The Diary of a Young Girl (Mass Market Paperback),Anne Frank,1947,4.18,3372719,"Classics,Nonfiction,History,Biography,Autobiography,Historical,World War II,Biography,War,War"
6,The Great Gatsby (Paperback),F. Scott Fitzgerald,1925,3.93,4651817,"Classics,Fiction,Academic,Historical,Literature,Romance,Novels,Academic,Young Adult,Literature"
7,The Alchemist (Paperback),Paulo Coelho,1988,3.9,2672907,"Fiction,Classics,Fantasy,Philosophy,Novels,Spirituality,Self Help,Literature,Adventure,Inspirational"
8,All the Light We Cannot See (Hardcover),Anthony Doerr,2014,4.32,1371077,"Historical,Fiction,Historical,War,War,Audiobook,Adult,Cultural,Book Club,Literary Fiction"
9,The Seven Husbands of Evelyn Hugo (Hardcover),Taylor Jenkins Reid,2017,4.46,1668433,"Fiction,Historical,Romance,LGBT,Contemporary,Audiobook,Adult,Historical,LGBT,LGBT"
10,"Harry Potter and the Philosopher's Stone (Harry Potter, #1)",J.K. Rowling,1997,4.47,8923083,"Fantasy,Fiction,Young Adult,Fantasy,Childrens,Childrens,Classics,Adventure,Audiobook,Science Fiction Fantasy"
11,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,2008,4.32,7675586,"Young Adult,Fiction,Science Fiction,Fantasy,Science Fiction,Romance,Adventure,Young Adult,Apocalyptic,Audiobook"
12,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,2005,4.16,2974643,"Fiction,Mystery,Thriller,Mystery,Thriller,Suspense,Contemporary,Adult,Cultural,Adult Fiction"
13,The Girl on the Train (Hardcover),Paula Hawkins,2015,3.95,2620472,"Fiction,Mystery,Thriller,Thriller,Mystery,Suspense,Contemporary,Audiobook,Adult,Adult Fiction"
14,Steve Jobs (Hardcover),Walter Isaacson,2011,4.16,1156457,"Biography,Nonfiction,Business,Science,History,Biography Memoir,Audiobook,Leadership,Biography,Autobiography"
