UserID,Title,ISBN,Rating
4,House of Sky and Breath,9781408884423,it was amazing
4,Glow,,it was amazing
4,Helfyre,,it was ok
4,Circe,,it was amazing
4,Bow Before the Elf Queen,,really liked it
4,It Happened One Summer,9780063045651,really liked it
4,Skyward,,it was amazing
4,The Rage of Dragons,,it was amazing
4,2022 on Goodreads,,
4,Husband Material,,it was amazing
4,The Hunger of the Gods,9780356514222,it was amazing
4,The Exile,,it was amazing
4,War Lord,9780008183950,it was amazing
4,The Shadow of the Gods,,it was amazing
4,The Children of Gods and Fighting Men,9781803282626,it was amazing
4,Empire of the Vampire,9780008350437,it was amazing
4,Shadow of Night,9780670023486,really liked it
4,Shadow Lands,,it was amazing
4,The City of Dusk,9780316458887,it was amazing
4,Of Blood and Fire,,it was amazing
4,"Hook, Line, and Sinker",,really liked it
4,Wolf of the Sands,,it was amazing
4,Shadow Kissed,,really liked it
4,A Dowry of Blood,,really liked it
4,The Spanish Love Deception,9781668002520,really liked it
4,For Butter or Worse,9781335506344,it was amazing
4,"Elf Shot: Ironwood, Book 3",,it was amazing
4,Norse Mythology,,really liked it
4,In Calabria,9781616962487,liked it
4,In a Holidaze,9781982123956,really liked it
4,The Calm Before the Storm,,it was amazing
4,Mixed Signals,,really liked it
4,Blood Lands,,it was amazing
4,Shipped,9781982151591,really liked it
4,Lovelight Farms,,really liked it
4,From Blood and Ash,9781952457012,it was amazing
4,River of Shadows,9798409092955,really liked it
4,Savage Lands,,it was amazing
4,A Hunger Like No Other,,really liked it
4,Kiss of the Blood Prince,,really liked it
4,Kulti,,really liked it
4,A Discovery of Witches,,it was amazing
4,Hooked,,liked it
4,The Witch Collector,9781648980442,it was amazing
4,Trash and Treasure,,really liked it
4,Wild Lands,,it was amazing
4,Dark Earth,9780812989113,liked it
4,Wings of the Night Prince,,really liked it
4,Dead Lands,,it was amazing
4,The Rogue Crown,,really liked it
4,Cry of the Firebird,,really liked it
4,Of Darkness and Light,,it was amazing
4,My Killer Vacation,9798201353605,liked it
4,Electric Idol,9781728231761,really liked it
4,Between Ink and Shadows,,it was ok
4,The Hating Game,,really liked it
4,Heart of a Witch,,really liked it
4,The Traitor Queen,,it was amazing
4,The Wall of Winnipeg and Me,,really liked it
4,Boyfriend Material,9781728206141,it was amazing
4,Rise Of The Firebird,,it was amazing
4,Tools of Engagement,9780062872937,really liked it
4,Song of the Forever Rains,,liked it
4,The Bridge Kingdom,,it was amazing
4,Forced Bonds,,liked it
4,Sorcerers and Saints,,really liked it
4,A Game of Retribution,,really liked it
4,Sharpest Edge,,really liked it
4,Bad Lands,,it was amazing
4,The Pagan Lord,9780007331901,it was amazing
4,The First Girl Child,,it was amazing
4,Not Good for Maidens,,it was ok
4,The Unhoneymooners,,liked it
4,Comfort Me with Apples,9781250816214,liked it
4,A Shadow in the Ember,,it was amazing
4,The Fall,,it was amazing
4,Carmilla - Audible Performance,,liked it
4,2021 on Goodreads,,really liked it
4,The Tales of Beedle the Bard,9780747599876,it was amazing
4,Ashes of The Firebird,,it was amazing
4,Midnight Crown,,really liked it
4,"Luna Cursed : Ironwood, Book 4",,it was amazing
4,Ascendant,,it was amazing
4,Broken Bonds,,liked it
4,The ​Crown of Gilded Bones,9781952457258,it was amazing
4,Heart of the Winter Prince,,really liked it
4,War of the Wolf,9780062563194,really liked it
4,A Taste of Gold and Iron,,
4,The Bladed Faith,9780759557086,it was amazing
4,The Flame Bearer,9780007504213,it was amazing
4,The Telltale Heart,,it was amazing
4,In a Garden Burning Gold,9780593354971,liked it
4,A Kingdom of Flesh and Fire,,it was amazing
4,The High Mountain Court,,really liked it
4,No Rest for the Wicked,,really liked it
4,Wild and Wicked Things,9780316287159,liked it
4,A Fate Inked in Blood,,
4,Hotel Portofino,9798200875047,really liked it
4,The Cheat Sheet,,really liked it
4,Silver Heart,,really liked it
4,The Last Kingdom,,it was amazing
4,The Justice of Kings,,it was amazing
4,The Empty Throne,9780007504176,really liked it
4,Seeds of Truer Natures,,really liked it
4,The Smoke Thief,9780553588040,really liked it
4,Haastmouth Beach,,it was amazing
4,Midnight in Everwood,9780008450663,liked it
4,Reborn,,really liked it
4,Nothing But Blackened Teeth,9781250759412,it was ok
4,Devastation,,liked it
4,Sword of Kings,,really liked it
4,The North Wind,9781733033466,really liked it
4,Fix Her Up,9780062872845,really liked it
4,The Inadequate Heir,,really liked it
4,A Kingdom of Ruin,,liked it
4,Son of Mercia,,liked it
4,Asterion,,really liked it
4,A Game of Fate,,really liked it
4,Heads Will Roll,,liked it
4,Christmas in the Scottish Highlands,,did not like it
4,The Immortal City,,it was amazing
4,Lords of the North,,it was amazing
4,King of Battle and Blood,,really liked it
4,The Raven,,it was amazing
4,The Lion and the Star,,really liked it
4,Wrath of the Fae Boxset: Books 1-3,,really liked it
4,The Book of Mythical Beasts and Magical Creatures,9781465499752,
4,The Beast,,liked it
4,Italian Folktales,9780156454896,
4,"The Oresteia: Agamemnon, The Libation Bearers, The Eumenides",9780140443332,
4,Lady Whistledown Strikes Back,9780060577483,
4,The Viscount Who Loved Me,,really liked it
4,Kitchen Confidential: Adventures in the Culinary Underbelly,9780060899226,
4,The Dream Thief,9780553588057,
4,Marked,9780312360269,
4,The Ice Dragon,9780765316318,
4,The Mummy,9780099471370,
4,The Greek Myths,9780140171990,
4,The Final Empire,9780765311788,
4,Enemy of God,9780312187149,
4,Moon Called,9780441013814,it was amazing
4,The Old Man and the Sea,9780684830490,liked it
4,Here Be Dragons,9780345382849,
4,My Family and Other Animals,9780142004418,
