,UserID,Title,ISBN,Rating
1,1,Assassin's Quest: The Illustrated Edition,9780593157930.0,2
2,1,The Blade Itself,9780575079793.0,5
3,1,Last Argument of Kings,9780575084162.0,5
4,1,Warbreaker,9781938570216.0,5
5,1,A Game of Thrones,9780008228569.0,5
6,1,The Lies of Locke Lamora,9780575079755.0,5
7,1,The Well of Ascension,,5
8,1,The Name of the Wind,9780756413712.0,5
9,1,Gardens of the Moon,9780765348784.0,4
10,1,The Hero of Ages,,5
11,1,The Shadow of the Wind,9781474609883.0,5
12,1,The Way of Kings,9780765326355.0,5
13,1,Words of Radiance,9780765326362.0,5
14,1,Blood Song,9780425268285.0,5
15,1,Malice,9780316399739.0,5
16,1,Red Rising,9781984819376.0,5
17,1,Oathbringer,9780765326379.0,5
18,1,Rhythm of War,9780765326386.0,5
19,1,Uprooted,9781447294146.0,1
20,1,The Shadow of What Was Lost,9780316274074.0,5
21,1,A Gathering of Shadows,9781783295425.0,1
22,1,The Lost Metal,9781473215269.0,5
23,1,Assassin's Fate,9780007444281.0,5
24,1,Wrath,9780316386340.0,5
25,1,Iron Gold,9781473646551.0,5
26,1,Kings of the Wyld,9780356509020.0,5
27,1,Jade City,9780356510514.0,5
28,1,Bloody Rose,9780356509044.0,5
29,1,The Poppy War,9780008239848.0,5
30,1,A Little Hatred,9781473229754.0,5
31,1,The Light of All That Falls,9780356507842.0,5
32,1,Spinning Silver,9780399180989.0,5
33,1,The Sword of Kaigen: A Theonite War Story,9781720193869.0,5
34,1,The Burning God,9780008339180.0,5
35,1,Jade Legacy,9780356510590.0,5
36,1,The Shadow of the Gods,9780356514185.0,5
37,1,"Babel, Or the Necessity of Violence: An Arcane History of the Oxford Translators’ Revolution",,5
38,1,Legends & Lattes,,5
39,1,The Emperor's Soul,9781616960926.0,5
40,1,Jade War,9780356510538.0,5
41,1,The Ember Blade,9781473214842.0,5
42,1,The Rage of Dragons,9780316489768.0,4
43,1,Heir of Novron,,5
44,1,Assassin's Apprentice,9781984817853.0,4
45,1,The Ninth Rain,9781472298065.0,5
46,1,Ship of Magic,9780008117450.0,5
47,1,Best Served Cold,9780575082489.0,5
48,1,The Shadow Rising,,2
49,1,A Time of Dread,9781509812943.0,5
50,1,The Bone Shard Daughter,9780356514949.0,5
51,1,Memories of Ice,9780765348807.0,5
52,1,The Blackest Heart,9781481465267.0,5
53,1,Dragon Mage,9781951452056.0,5
54,1,The Trouble with Peace,9780575095915.0,5
55,1,Illborn,9781800462823.0,5
56,1,Red Sister,9781101988879.0,5
57,1,The Hunger of the Gods,9780356514222.0,4
58,1,The Song of Achilles,9781526648174.0,5
59,1,Deadhouse Gates,9780765348791.0,4
60,1,The Wise Man's Fear,,5
61,1,The Children of Húrin,9780007252268.0,5
62,1,Theft of Swords,,4
63,1,Royal Assassin,9780593157923.0,4
64,1,Dreams of the Dying,9783982216737.0,5
65,1,The Empire's Ruin,9780765389909.0,5
66,1,The Forgetting Moon,9781481465236.0,5
67,1,Foundryside,9781524760366.0,5
69,1,The Slow Regard of Silent Things,9781473209336.0,5
70,1,The Ruin of Kings,9781509879489.0,3
71,1,Before They Are Hanged,9780575082014.0,5
72,1,The First Binding,9781473233980.0,5
73,1,The Grace of Kings,9781481424271.0,5
74,1,The Justice of Kings,9780356516424.0,5
75,1,The Wisdom of Crowds,9780575095960.0,5
76,1,Dawnshard,9781250850553.0,5
77,1,Senlin Ascends,9781482590951.0,4
78,1,Golden Son,9781444759037.0,5
79,1,Mistborn: Secret History,9781473225046.0,5
80,1,Circe,,4
81,1,Shorefall,9781524760380.0,5
82,1,She Who Became the Sun,,5
83,1,The Night Circus,9780345802620.0,2
84,1,The Fifth Season,,4
85,1,Holy Sister,9781101988930.0,4
86,1,The Crippled God,9780765348876.0,5
87,1,Lancelot,9780552174008.0,5
88,1,Age of Myth,9781101965351.0,4
89,1,The Fellowship of the Ring,9780358380238.0,4
90,1,A Storm Of Swords,9780008412760.0,5
91,1,City of Stairs,9780804137171.0,5
92,1,The Hand of the Sun King,9781473232877.0,5
93,1,Hyperion,,4
94,1,The Bone Ships,9780356511832.0,4
95,1,The Great Hunt,,4
96,1,The Heroes,9780575083851.0,5
97,1,Fool's Assassin,9780007444205.0,5
98,1,The Poison Song,,5
99,1,The Eye of the World,,3
100,1,The Martian,9780804139021.0,5
101,1,Nevernight,9780008179991.0,4
102,1,A Time of Courage,9781509813025.0,5
103,1,Recursion,9781984826015.0,5
104,1,The Hod King,9780316517980.0,5
105,1,The Obelisk Gate,9780316229265.0,2
106,1,The Dragon Republic,9780008239893.0,4
107,1,Ruin,9780316386326.0,5
108,1,Fire and Blood: A History of the Targaryen Kings from Aegon the Conqueror to Aegon III,9780008307738.0,3
109,1,Dark Age,9781473646766.0,4
110,1,Elantris,9780765381026.0,3
111,1,Piranesi,,4
112,1,Darkdawn,9780008180089.0,5
113,1,The Gutter Prayer,9780356511528.0,5
114,1,Death Note,9781421597713.0,5
115,1,Gates of Fire,9780553383683.0,5
116,1,Rise of Empire,,4
117,1,The Burning White,9780356504674.0,3
118,1,The Fires of Heaven,,4
119,1,The Republic of Thieves,9780575084469.0,3
120,1,The Alloy of Law,9780765368546.0,4
121,1,The Blacktongue Thief,,4
122,1,A Time of Blood,9781509812981.0,5
123,1,The Bonehunters,9780765348838.0,5
124,1,Valor,9780316399746.0,5
