,Title,ISBN,Rating
155,Raven's Shadow,9780441011872.0,really liked it
116,Asterion,,really liked it
186,The Duke and I,9780380800827.0,really liked it
176,Romancing Mister Bridgerton,9780380820849.0,really liked it
159,When Demons Walk,9780441005345.0,really liked it
158,Steal the Dragon,9780441002733.0,really liked it
156,Dragon Blood,9780441010080.0,really liked it
154,Raven's Strike,9780441013128.0,really liked it
153,The Great Gatsby,,really liked it
150,A Gift Upon the Shore,9780595143412.0,really liked it
148,Dragon Bones,9780441009169.0,really liked it
131,The Viscount Who Loved Me,,really liked it
125,Wrath of the Fae Boxset: Books 1-3,,really liked it
124,The Lion and the Star,,really liked it
122,King of Battle and Blood,,really liked it
117,A Game of Fate,,really liked it
113,The Inadequate Heir,,really liked it
191,The Pale Horseman,,really liked it
112,Fix Her Up,9780062872845.0,really liked it
111,The North Wind,9781733033466.0,really liked it
110,Sword of Kings,,really liked it
107,Reborn,,really liked it
104,The Smoke Thief,9780553588040.0,really liked it
103,Seeds of Truer Natures,,really liked it
102,The Empty Throne,9780007504176.0,really liked it
99,Silver Heart,,really liked it
98,The Cheat Sheet,,really liked it
97,Hotel Portofino,9798200875047.0,really liked it
94,No Rest for the Wicked,,really liked it
93,The High Mountain Court,,really liked it
86,War of the Wolf,9780062563194.0,really liked it
85,Heart of the Winter Prince,,really liked it
187,An Offer From a Gentleman,,really liked it
199,When He Was Wicked,9780060531232.0,really liked it
77,2021 on Goodreads,,really liked it
526,Crystal Crowned,,really liked it
971,A Dance with the Fae Prince,,really liked it
947,A Deal with the Elf King,9781949694284.0,really liked it
931,Neon Gods,,really liked it
855,Wings of Fury,,really liked it
803,A Touch of Ruin,9798637299126.0,really liked it
800,Kingdom of the Cursed,,really liked it
799,Kingdom of the Wicked,9780316428460.0,really liked it
779,Crystal Caged,,really liked it
722,A Touch of Darkness,,really liked it
604,Sky in the Deep,9781250168450.0,really liked it
594,The Farmer's War,,really liked it
586,A Court of Frost and Starlight,9781681196312.0,really liked it
563,Tower of Dawn,,really liked it
560,A ​Court of Silver Flames,9781681196282.0,really liked it
502,Warriors of the Storm,9780062443854.0,really liked it
208,The Fiery Cross,9780440221661.0,really liked it
479,The Shadow of What Was Lost,9780992580209.0,really liked it
462,Under Locke,,really liked it
458,"Bridgerton Collection, Volume One",,really liked it
434,Queen of Shadows,,really liked it
419,A Court of Thorns and Roses,9781619634442.0,really liked it
413,Crown of Midnight,9781619630628.0,really liked it
407,To All the Boys I've Loved Before,,really liked it
351,The Burning Land,9780007219759.0,really liked it
339,Strange Brew,9780312383367.0,really liked it
326,"The Lion, the Witch and the Wardrobe",,really liked it
310,The Odyssey,9780143039952.0,really liked it
262,The Hunger Games,9780439023481.0,really liked it
244,The Last Wish,,really liked it
241,The Little Prince,,really liked it
80,Midnight Crown,,really liked it
977,Crown of Cinders,,really liked it
44,Trash and Treasure,,really liked it
4,Bow Before the Elf Queen,,really liked it
61,Tools of Engagement,9780062872937.0,really liked it
33,Mixed Signals,,really liked it
55,The Hating Game,,really liked it
34,Lovelight Farms,,really liked it
36,River of Shadows,9798409092955.0,really liked it
50,Cry of the Firebird,,really liked it
5,It Happened One Summer,9780063045651.0,really liked it
29,In a Holidaze,9781982123956.0,really liked it
38,A Hunger Like No Other,,really liked it
56,Heart of a Witch,,really liked it
65,Sorcerers and Saints,,really liked it
66,A Game of Retribution,,really liked it
39,Kiss of the Blood Prince,,really liked it
32,Shipped,9781982151591.0,really liked it
49,The Rogue Crown,,really liked it
40,Kulti,,really liked it
67,Sharpest Edge,,really liked it
27,Norse Mythology,,really liked it
58,The Wall of Winnipeg and Me,,really liked it
47,Wings of the Night Prince,,really liked it
20,"Hook, Line, and Sinker",,really liked it
16,Shadow of Night,9780670023486.0,really liked it
24,The Spanish Love Deception,9781668002520.0,really liked it
23,A Dowry of Blood,,really liked it
22,Shadow Kissed,,really liked it
53,Electric Idol,9781728231761.0,really liked it
578,A Strange Hymn,,liked it
687,Serpent & Dove,,liked it
612,Dark Harmony,,liked it
663,The Sweetest Oblivion,,liked it
157,The Hob's Bargain,9780441008131.0,liked it
693,Blood & Honey,,liked it
705,Vortex Visions,9781949694048.0,liked it
577,The Prince's Rogue,,liked it
309,"Eat, Pray, Love",9780143038412.0,liked it
568,The Crown's Dog,,liked it
505,Deceit,,liked it
382,The Masque of the Red Death,9781594567391.0,liked it
469,The Adventures of Tom Sawyer,9780143039563.0,liked it
475,Air Awakens,9781932549935.0,liked it
345,The Warlord Wants Forever,,liked it
333,Homecoming,9780345509888.0,liked it
327,The Alchemist,9780062315007.0,liked it
28,In Calabria,9781616962487.0,liked it
504,Depravity,,liked it
507,Rhapsodic,,liked it
525,Water's Wrath,9781619844254.0,liked it
308,Romeo and Juliet,,liked it
299,Twilight,9780316015844.0,liked it
512,The Cruel Prince,,liked it
513,The Wicked King,,liked it
514,The Queen of Nothing,,liked it
515,Fire Falling,9781619849525.0,liked it
737,Chosen Champion,,liked it
517,Earth's End,9781619844223.0,liked it
282,The Catcher in the Rye,9780316769174.0,liked it
42,Hooked,,liked it
141,The Old Man and the Sea,9780684830490.0,liked it
863,Gods & Monsters,,liked it
960,Gild,,liked it
76,Carmilla - Audible Performance,,liked it
62,Song of the Forever Rains,,liked it
967,Erebus,,liked it
106,Midnight in Everwood,9780008450663.0,liked it
95,Wild and Wicked Things,9780316287159.0,liked it
109,Devastation,,liked it
878,A Touch of Malice,,liked it
64,Forced Bonds,,liked it
879,Medusa,,liked it
52,My Killer Vacation,9798201353605.0,liked it
91,In a Garden Burning Gold,9780593354971.0,liked it
114,A Kingdom of Ruin,,liked it
115,Son of Mercia,,liked it
948,Charon,,liked it
118,Heads Will Roll,,liked it
73,Comfort Me with Apples,9781250816214.0,liked it
911,Hermes,,liked it
778,Sovereign Sacrifice,,liked it
763,Descending Into Madness,9781077934177.0,liked it
762,Failed Future,,liked it
72,The Unhoneymooners,,liked it
127,The Beast,,liked it
46,Dark Earth,9780812989113.0,liked it
83,Broken Bonds,,liked it
934,Thanatos,,liked it
745,Love Her or Lose Her,9780062872869.0,liked it
896,Hades,,it was ok
108,Nothing But Blackened Teeth,9781250759412.0,it was ok
362,Divergent,9780062024039.0,it was ok
54,Between Ink and Shadows,,it was ok
2,Helfyre,,it was ok
649,Pestilence,,it was ok
668,War,,it was ok
71,Not Good for Maidens,,it was ok
495,Silence Fallen,9780425281277.0,it was amazing
19,Of Blood and Fire,,it was amazing
943,The ​Crown of Gilded Bones,,it was amazing
460,Fire Touched,9780425256763.0,it was amazing
21,Wolf of the Sands,,it was amazing
455,Dead Heat,9780425256756.0,it was amazing
441,The Assassin's Blade,,it was amazing
496,Storm Cursed,,it was amazing
3,Circe,,it was amazing
865,Greenlights,9780593139134.0,it was amazing
497,Burn Bright,9780425281314.0,it was amazing
18,The City of Dusk,9780316458887.0,it was amazing
11,The Exile,,it was amazing
432,Empire of Storms,,it was amazing
752,Smoke Bitten,9780440001553.0,it was amazing
10,The Hunger of the Gods,9780356514222.0,it was amazing
9,Husband Material,,it was amazing
12,War Lord,9780008183950.0,it was amazing
13,The Shadow of the Gods,,it was amazing
14,The Children of Gods and Fighting Men,9781803282626.0,it was amazing
15,Empire of the Vampire,9780008350437.0,it was amazing
7,The Rage of Dragons,,it was amazing
17,Shadow Lands,,it was amazing
6,Skyward,,it was amazing
522,House of Earth and Blood,,it was amazing
861,Wild Sign,,it was amazing
893,The Sea of the Dead,,it was amazing
433,Kingdom of Ash,9781619636101.0,it was amazing
69,The Pagan Lord,9780007331901.0,it was amazing
431,Heir of Fire,,it was amazing
48,Dead Lands,,it was amazing
57,The Traitor Queen,,it was amazing
105,Haastmouth Beach,,it was amazing
51,Of Darkness and Light,,it was amazing
120,The Immortal City,,it was amazing
121,Lords of the North,,it was amazing
123,The Raven,,it was amazing
140,Moon Called,9780441013814.0,it was amazing
430,A Court of Wings and Ruin,9781408857908.0,it was amazing
45,Wild Lands,,it was amazing
43,The Witch Collector,9781648980442.0,it was amazing
1,Glow,,it was amazing
41,A Discovery of Witches,,it was amazing
160,On the Prowl,9780425216590.0,it was amazing
161,Masques,9780441520992.0,it was amazing
59,Boyfriend Material,9781728206141.0,it was amazing
101,The Justice of Kings,,it was amazing
100,The Last Kingdom,,it was amazing
60,Rise Of The Firebird,,it was amazing
63,The Bridge Kingdom,,it was amazing
92,A Kingdom of Flesh and Fire,,it was amazing
90,The Telltale Heart,,it was amazing
89,The Flame Bearer,9780007504213.0,it was amazing
88,The Bladed Faith,9780759557086.0,it was amazing
84,The ​Crown of Gilded Bones,9781952457258.0,it was amazing
82,Ascendant,,it was amazing
81,"Luna Cursed : Ironwood, Book 4",,it was amazing
79,Ashes of The Firebird,,it was amazing
78,The Tales of Beedle the Bard,9780747599876.0,it was amazing
68,Bad Lands,,it was amazing
75,The Fall,,it was amazing
74,A Shadow in the Ember,,it was amazing
37,Savage Lands,,it was amazing
35,From Blood and Ash,9781952457012.0,it was amazing
201,Voyager,9780385335997.0,it was amazing
359,Wolfsbane,9780441019540.0,it was amazing
324,The Help,9780399155345.0,it was amazing
330,Hunting Ground,9780441017386.0,it was amazing
331,Alpha & Omega,9781440644573.0,it was amazing
341,Silver Borne,9780441018192.0,it was amazing
26,"Elf Shot: Ironwood, Book 3",,it was amazing
358,River Marked,9781841497976.0,it was amazing
360,Throne of Glass,,it was amazing
70,The First Girl Child,,it was amazing
364,"To Sir Phillip, With Love",9780380820856.0,it was amazing
383,Frost Burned,9780441020010.0,it was amazing
388,Death of Kings,9780007331789.0,it was amazing
25,For Butter or Worse,9781335506344.0,it was amazing
425,Night Broken,9780425256749.0,it was amazing
429,A Court of Mist and Fury,,it was amazing
323,Harry Potter and the Sorcerer's Stone,,it was amazing
297,The Fellowship of the Ring,9780345015339.0,it was amazing
206,Iron Kissed,9780441015665.0,it was amazing
257,Blood Bound,9780441014736.0,it was amazing
216,A Game of Thrones,9780553588484.0,it was amazing
219,The Hobbit,,it was amazing
31,Blood Lands,,it was amazing
245,Cry Wolf,9780441016150.0,it was amazing
247,Harry Potter and the Prisoner of Azkaban,9780439655484.0,it was amazing
253,Outlander,9780440242949.0,it was amazing
30,The Calm Before the Storm,,it was amazing
295,Sword Song,,it was amazing
265,Dragonfly in Amber,,it was amazing
278,The Two Towers,,it was amazing
279,The Return of the King,9780345240347.0,it was amazing
291,Bone Crossed,9781841496863.0,it was amazing
294,Eragon,9780375826696.0,it was amazing
0,House of Sky and Breath,9781408884423.0,it was amazing
119,Christmas in the Scottish Highlands,,did not like it
8,2022 on Goodreads,,
87,A Taste of Gold and Iron,,
96,A Fate Inked in Blood,,
126,The Book of Mythical Beasts and Magical Creatures,9781465499752.0,
128,Italian Folktales,9780156454896.0,
129,"The Oresteia: Agamemnon, The Libation Bearers, The Eumenides",9780140443332.0,
130,Lady Whistledown Strikes Back,9780060577483.0,
132,Kitchen Confidential: Adventures in the Culinary Underbelly,9780060899226.0,
133,The Dream Thief,9780553588057.0,
134,Marked,9780312360269.0,
135,The Ice Dragon,9780765316318.0,
136,The Mummy,9780099471370.0,
137,The Greek Myths,9780140171990.0,
138,The Final Empire,9780765311788.0,
139,Enemy of God,9780312187149.0,
142,Here Be Dragons,9780345382849.0,
143,My Family and Other Animals,9780142004418.0,
144,The Sagas of Icelanders,9780141000039.0,
145,The Miracle of Mindfulness: An Introduction to the Practice of Meditation,9780807012390.0,
146,A Wizard of Earthsea,9780553383041.0,
147,The Winter King,9780312156961.0,
149,Dissolution,9780330411967.0,
151,Assassin's Apprentice,9780553573398.0,
152,The Secret History,9781400031702.0,
162,"Artemis: Virgin Goddess of the Sun & Moon--A Comprehensive Guide to the Greek Goddess of the Hunt, Her Myths, Powers & Mysteries",9781905297023.0,
163,Daughter of the Blood,9780451456717.0,
164,Ross Poldark,9781492622079.0,
165,The Four Agreements,9781878424501.0,
166,Secrets of Sant'Angelo,9780425207499.0,
167,The Whale Road,9780312361945.0,
168,The Black Company,,
169,Wicked Deeds on a Winter's Night,,
170,The Archer's Tale,9780060935764.0,
171,Dead Until Dark,9780441008537.0,
172,Enchantment,9780345482402.0,
173,The Queen's Gambit,9781400030606.0,
174,Stonehenge,9780060956851.0,
175,Club Dead,,
177,"The Art of Simple Food: Notes, Lessons, and Recipes from a Delicious Revolution",9780307336798.0,
178,His Majesty's Dragon,9780345481283.0,
179,In the Forests of Serre,9780441011575.0,
180,Living Dead in Dallas,9781841493008.0,
181,The Chronicles of Narnia,9780066238500.0,
182,The Mists of Avalon,,
183,The Divine Comedy,9780679433132.0,
184,The Dragonbone Chair,9780756402693.0,
185,The Power of Now: A Guide to Spiritual Enlightenment,9781577314806.0,
188,Interview with the Vampire,9780345476876.0,
189,The Book Thief,,
190,Sharpe's Tiger,9780060932305.0,
192,Scar Tissue,9781401307455.0,
193,The Blade Itself,9781473216785.0,
194,Women Who Run With the Wolves,9780345409874.0,
195,A Feast for Crows,9780553582024.0,
196,The Red Tent,9780312353766.0,
197,Dead as a Doornail,9780441013333.0,
198,"Blood Meridian, or the Evening Redness in the West",,
200,The Handmaid's Tale,,
202,The Once and Future King,9780441627400.0,
203,Gates of Fire,9780553383683.0,
204,A Storm of Swords,9780553573428.0,
205,Definitely Dead,9780441014910.0,
207,Poison Study,9780778324331.0,
209,King's Dragon,9780886777715.0,
210,Warbreaker,,
211,"Wherever You Go, There You Are: Mindfulness Meditation in Everyday Life",9781401307783.0,
212,Wizard's First Rule,9780765346520.0,
213,Le Morte d'Arthur: King Arthur and the Legends of the Round Table,9780451528162.0,
214,Queen of Dragons,9780553805284.0,
215,It's in His Kiss,9780060531249.0,
217,Ship of Magic,9780006498858.0,
218,The Golden Compass,9780679879244.0,
220,Wuthering Heights,,
221,City of Ashes,9781416914297.0,
